"ID","Essai","Temps Experience","Temps total Inactivite","Temps total Activite","Temps total de Manipulation","Nbr Total de Manipulation","Temps Total Consultation Instruction","Nb Total de Consultation","Nombre erreur","Proposition_Phase"
"ID40","1","197.111099","111.563599","85.547501","50.680801","27","34.866699","10","0","1"
"ID40","2","111.777695","67.112495","44.665199","31.509501","20","13.155700","7","0","1"
"ID40","3","95.922173","60.967430","34.954754","33.310249","18","1.644500","1","0","2"
"ID40","4","126.111137","60.583599","65.527534","65.527534","34","0.000000","0","0","2"
"ID40","5","67.411110","31.513380","35.897732","35.897732","24","0.000000","0","0","3"
"ID40","6","69.166656","29.118000","40.048660","40.048660","26","0.000000","0","0","3"
"ID41","1","203.922211","90.147598","113.774597","39.741001","39","74.033600","64","14","1"
"ID41","2","129.544403","64.063202","65.481201","19.336800","23","46.144402","57","1","1"
"ID41","3","38.122219","23.195141","14.927080","14.927080","13","0.000000","0","0","2"
"ID41","4","41.777779","24.584249","17.193529","17.193529","20","0.000000","0","0","3"
"ID41","5","34.588886","19.151140","15.437750","15.437750","21","0.000000","0","0","3"
"ID42","1","129.422302","68.401703","61.020599","30.020300","26","31.000299","16","0","1"
"ID42","2","80.611000","50.218601","30.392401","20.581200","16","9.811200","8","0","1"
"ID42","3","44.744400","25.653111","19.091290","19.091290","18","0.000000","0","1","2"
"ID42","4","51.455528","24.487930","26.967600","26.967600","21","0.000000","0","0","2"
"ID42","5","46.433311","25.152929","21.280380","21.280380","18","0.000000","0","0","3"
"ID42","6","39.777752","20.586811","19.190941","19.190941","15","0.000000","0","0","3"
"ID43","1","446.844421","189.134491","257.709900","110.143402","84","147.566498","97","40","1"
"ID43","2","92.622200","41.652500","50.969700","42.325401","29","8.644301","11","12","1"
"ID43","3","50.011108","26.786240","23.224871","20.113750","18","3.111120","3","3","2"
"ID43","4","38.288898","19.753599","18.535299","18.535299","11","0.000000","0","0","2"
"ID43","5","32.144459","15.640210","16.504250","16.504250","10","0.000000","0","0","3"
"ID43","6","31.100010","15.905310","15.194700","15.194700","12","0.000000","0","0","3"
"ID44","1","231.888901","80.867905","151.020996","84.798698","37","66.222298","33","11","1"
"ID44","2","98.677704","46.042801","52.634899","52.634899","34","0.000000","0","5","2"
"ID44","3","89.133286","40.235821","48.897472","48.897472","39","0.000000","0","2","2"
"ID44","4","46.877739","23.462620","23.415119","23.415119","25","0.000000","0","2","2"
"ID44","5","55.588879","27.334299","28.254580","28.254580","27","0.000000","0","0","2"
"ID44","6","42.433380","20.297649","22.135731","22.135731","19","0.000000","0","0","3"
"ID44","7","39.488888","19.861788","19.627100","19.627100","22","0.000000","0","0","3"
"ID45","1","149.666702","55.381599","94.285103","35.762699","16","58.522400","39","2","1"
"ID45","2","94.622200","45.687698","48.934502","20.745600","10","28.188900","16","0","1"
"ID45","3","36.444420","18.572149","17.872271","17.872271","16","0.000000","0","0","2"
"ID45","4","28.088909","12.961560","15.127350","15.127350","11","0.000000","0","0","3"
"ID45","5","29.388889","15.227800","14.161090","14.161090","14","0.000000","0","0","3"
"ID46","1","164.277695","77.643799","86.633896","51.356400","19","35.277500","27","2","1"
"ID46","2","74.144402","31.859800","42.284599","37.884602","16","4.400000","5","0","2"
"ID46","3","60.355530","27.389490","32.966042","32.166050","17","0.799990","2","0","2"
"ID46","4","46.500000","18.190020","28.309980","28.309980","17","0.000000","0","0","2"
"ID46","5","43.822220","17.179668","26.642551","26.642551","16","0.000000","0","0","3"
"ID46","6","43.011112","18.231750","24.779360","24.779360","16","0.000000","0","0","3"
"ID47","1","147.533401","62.493500","85.039902","42.439602","24","42.600300","43","5","1"
"ID47","2","76.366646","38.534439","37.832207","29.876600","17","7.955608","11","1","1"
"ID47","3","49.911121","22.289560","27.621559","27.621559","15","0.000000","0","0","2"
"ID47","4","46.577766","23.164988","23.412781","23.412781","16","0.000000","0","1","2"
"ID47","5","45.888889","22.931601","22.957293","22.957293","15","0.000000","0","0","2"
"ID47","6","43.644447","23.141859","20.502590","20.502590","12","0.000000","0","0","3"
"ID47","7","43.366673","18.421850","24.944820","24.944820","14","0.000000","0","0","3"
"ID48","1","186.933411","95.804893","91.128494","42.317799","19","48.810699","40","2","1"
"ID48","2","120.611107","73.294998","47.316101","38.960602","24","8.355500","13","4","1"
"ID48","3","74.533379","45.721630","28.811750","28.122860","22","0.688890","1","2","2"
"ID48","4","39.188900","19.008221","20.180679","20.180679","13","0.000000","0","0","2"
"ID48","5","41.422218","19.197392","22.224829","22.224829","11","0.000000","0","0","3"
"ID48","6","40.777779","20.142151","20.635630","20.635630","13","0.000000","0","0","3"
"ID49","1","260.533417","137.232208","123.301201","50.668098","20","72.633095","45","4","1"
"ID49","2","120.711105","67.937897","52.773201","44.062099","17","8.711100","7","2","1"
"ID49","3","67.022247","32.603081","34.419167","34.419167","17","0.000000","0","0","2"
"ID49","4","51.822231","22.988859","28.833370","28.833370","14","0.000000","0","0","3"
"ID49","5","58.099998","27.392389","30.707609","30.707609","15","0.000000","0","0","3"
"ID50","1","110.266701","53.747898","56.518799","33.640701","15","22.878099","13","2","1"
"ID50","2","56.088902","29.464500","26.624399","19.702200","13","6.922200","8","0","1"
"ID50","3","36.677780","16.385281","20.292500","20.292500","10","0.000000","0","1","2"
"ID50","4","29.900021","12.585160","17.314859","17.314859","9","0.000000","0","0","2"
"ID50","5","40.733318","18.907650","21.825670","21.825670","16","0.000000","0","0","3"
"ID50","6","32.977779","15.894960","17.082821","17.082821","11","0.000000","0","0","3"
"ID51","1","217.755600","83.484398","134.271194","19.459801","17","114.811401","57","0","1"
"ID51","2","42.355598","22.731100","19.624500","19.624500","18","0.000000","0","0","2"
"ID51","3","50.788879","35.351711","15.437170","15.437170","12","0.000000","0","0","3"
"ID51","4","32.644451","17.805470","14.838980","14.838980","14","0.000000","0","0","3"
"ID52","1","212.933411","80.056198","132.877197","30.699600","19","102.177597","38","5","1"
"ID52","2","79.822205","35.264301","44.557907","22.057880","17","22.500029","11","1","1"
"ID52","3","78.444466","39.854008","38.590446","24.501570","18","14.088880","9","3","1"
"ID52","4","48.888889","27.920267","20.968620","20.968620","19","0.000000","0","0","2"
"ID52","5","51.722221","28.841393","22.880829","22.880829","15","0.000000","0","0","3"
"ID52","6","43.677780","23.684999","19.992781","19.992781","14","0.000000","0","0","3"
"ID53","1","174.277695","84.838303","89.439400","36.917599","29","52.521801","28","7","1"
"ID53","2","68.433342","38.774078","29.659260","19.125940","22","10.533320","10","0","1"
"ID53","3","58.144501","33.175400","24.969101","20.268999","24","4.700100","6","0","1"
"ID53","4","58.555569","32.233582","26.321987","26.321987","33","0.000000","0","1","2"
"ID53","5","36.333328","19.051590","17.281740","17.281740","22","0.000000","0","0","2"
"ID53","6","36.977779","18.228971","18.748808","18.748808","21","0.000000","0","0","3"
"ID53","7","41.888882","19.420031","22.468849","22.468849","18","0.000000","0","0","3"
"ID54","1","255.244492","122.716003","132.528503","60.817101","19","71.711403","42","2","1"
"ID54","2","53.377769","34.918381","18.459391","18.459391","16","0.000000","0","0","2"
"ID54","3","45.277779","21.657520","23.620260","23.620260","31","0.000000","0","1","2"
"ID54","4","31.822220","15.341570","16.480650","16.480650","20","0.000000","0","0","2"
"ID54","5","37.566673","19.563131","18.003540","18.003540","18","0.000000","0","0","3"
"ID54","6","34.188889","18.761841","15.427050","15.427050","18","0.000000","0","0","3"
"ID55","1","157.211105","80.582199","76.628899","34.139900","23","42.488998","23","0","1"
"ID55","2","106.288925","49.377048","56.911880","48.045181","31","8.866701","8","9","1"
"ID55","3","90.488922","38.811737","51.677185","27.532803","19","24.144381","17","4","1"
"ID55","4","61.488892","42.253521","19.235371","19.235371","11","0.000000","0","0","2"
"ID55","5","56.677799","32.200378","24.477421","24.477421","15","0.000000","0","0","3"
"ID55","6","72.166656","39.545887","32.620773","32.620773","16","0.000000","0","0","3"
"ID56","1","147.311111","72.891602","74.419502","31.697701","23","42.721802","46","0","1"
"ID56","2","131.600052","80.624641","50.975410","40.775311","33","10.200100","13","6","1"
"ID56","3","230.533310","117.473854","113.059448","106.659355","69","6.400100","8","31","1"
"ID56","4","120.066658","37.289139","82.777519","80.610817","33","2.166700","1","0","2"
"ID56","5","41.200001","21.107727","20.092272","20.092272","23","0.000000","0","0","2"
"ID56","6","45.733341","19.710133","26.023209","26.023209","19","0.000000","0","0","3"
"ID56","7","45.655560","25.209740","20.445820","20.445820","17","0.000000","0","0","3"
"ID57","1","287.144379","62.897701","224.246704","22.357901","13","201.888794","11","0","1"
"ID57","2","46.944408","24.751089","22.193319","15.748920","12","6.444400","10","0","1"
"ID57","3","36.088886","17.497200","18.591690","18.591690","18","0.000000","0","0","2"
"ID57","4","31.699999","15.028673","16.671326","16.671326","18","0.000000","0","0","3"
"ID57","5","29.033331","14.739862","14.293468","14.293468","16","0.000000","0","0","3"
"ID58","1","160.155594","54.010899","106.144707","21.633801","13","84.510902","45","0","1"
"ID58","2","42.766670","23.020180","19.746490","19.746490","14","0.000000","0","2","2"
"ID58","3","29.322281","14.727640","14.594640","14.594640","10","0.000000","0","0","2"
"ID58","4","33.644447","17.426611","16.217840","16.217840","15","0.000000","0","0","3"
"ID58","5","35.288891","18.440111","16.848780","16.848780","17","0.000000","0","0","3"
"ID59","1","275.911102","93.054001","182.857101","81.056908","28","101.800201","71","11","1"
"ID59","2","107.377754","53.481140","53.896606","39.274200","14","14.622410","19","2","1"
"ID59","3","105.166702","59.537712","45.628990","40.506779","16","5.122210","8","2","1"
"ID59","4","47.222221","23.399210","23.823009","23.823009","11","0.000000","0","0","2"
"ID59","5","35.288887","14.286478","21.002413","21.002413","11","0.000000","0","0","3"
"ID59","6","34.599998","17.283928","17.316072","17.316072","9","0.000000","0","0","3"
"ID60","1","91.488800","36.410301","55.078499","28.822800","19","26.255699","26","4","1"
"ID60","2","64.222198","28.785400","35.436798","21.203300","18","14.233500","17","1","1"
"ID60","3","32.022228","15.130490","16.891741","16.891741","16","0.000000","0","1","2"
"ID60","4","30.355560","14.060710","16.294849","16.294849","15","0.000000","0","0","2"
"ID60","5","40.311111","23.063730","17.247379","17.247379","17","0.000000","0","1","2"
"ID60","6","30.522221","14.550620","15.971600","15.971600","17","0.000000","0","0","2"
"ID60","7","29.533340","15.839590","13.693750","13.693750","15","0.000000","0","0","3"
"ID60","8","31.200001","14.795060","16.404940","16.404940","16","0.000000","0","0","3"
"ID62","1","120.744400","67.234596","53.509800","36.254200","28","17.255600","16","5","1"
"ID62","2","73.166679","40.689297","32.477383","29.677382","24","2.800000","2","0","2"
"ID62","3","56.044418","27.243332","28.801088","28.801088","24","0.000000","0","1","2"
"ID62","4","64.555542","33.910271","30.645269","30.645269","30","0.000000","0","0","2"
"ID62","5","56.688889","26.713690","29.975201","29.975201","26","0.000000","0","0","3"
"ID62","6","43.411121","21.286890","22.124229","22.124229","21","0.000000","0","0","3"
"ID63","1","965.278198","416.019104","549.259094","324.979004","62","224.280090","96","28","1"
"ID63","2","289.611115","127.583771","162.027344","94.871880","18","67.155457","27","7","1"
"ID63","3","245.366623","123.573242","121.793373","97.326645","23","24.466730","15","4","1"
"ID63","4","196.500046","98.822868","97.677185","86.899376","16","10.777800","8","1","1"
"ID63","5","158.088928","74.844147","83.244781","82.344788","17","0.900000","1","1","2"
"ID63","6","139.155579","60.697521","78.458069","74.524734","18","3.933330","4","1","2"
"ID63","7","119.277779","80.158653","39.119122","39.119122","12","0.000000","0","0","2"
"ID63","8","79.866638","49.679848","30.186790","30.186790","12","0.000000","0","0","3"
"ID63","9","112.300034","39.495529","72.804497","72.804497","12","0.000000","0","0","3"
"ID64","1","261.488892","109.348198","152.140701","106.074402","37","46.066303","23","12","1"
"ID64","2","171.866592","84.814598","87.052002","55.407600","26","31.644400","21","2","1"
"ID64","3","156.644394","82.671600","73.972801","57.384102","23","16.588699","19","8","1"
"ID64","4","130.588898","69.666801","60.922100","49.255501","23","11.666600","9","4","1"
"ID64","5","174.722214","130.787003","43.935200","43.935200","18","0.000000","0","0","2"
"ID64","6","67.066711","36.923859","30.142851","30.142851","16","0.000000","0","0","3"
"ID64","7","70.955536","33.041851","37.913689","37.913689","19","0.000000","0","0","3"
"ID65","1","470.555573","221.893692","248.661911","123.639305","79","125.022598","55","53","1"
"ID65","2","247.033295","135.138489","111.894798","85.750397","52","26.144400","16","22","1"
"ID65","3","103.677803","67.436707","36.241100","27.318701","13","8.922400","16","0","1"
"ID65","4","86.122200","44.451401","41.670799","38.937500","13","2.733300","6","0","1"
"ID65","5","73.166702","44.145802","29.020901","29.020901","11","0.000000","0","0","2"
"ID65","6","82.077751","36.964993","45.112759","45.112759","16","0.000000","0","0","3"
"ID65","7","42.988838","22.998110","19.990730","19.990730","13","0.000000","0","0","3"
"ID66","1","103.866600","50.487301","53.379299","22.312799","18","31.066500","23","0","1"
"ID66","2","91.233353","54.434898","36.798447","27.465179","20","9.333270","15","0","1"
"ID66","3","42.277767","20.464560","21.813210","21.813210","21","0.000000","0","0","2"
"ID66","4","34.333328","17.417231","16.916100","16.916100","22","0.000000","0","0","3"
"ID66","5","35.122219","17.628387","17.493832","17.493832","18","0.000000","0","0","3"
"ID67","1","141.011108","66.724197","74.286896","31.597601","23","42.689301","26","8","1"
"ID67","2","55.877750","30.873430","25.004320","20.093260","14","4.911060","9","2","1"
"ID67","3","41.866673","21.607660","20.259010","18.759010","13","1.500000","2","0","2"
"ID67","4","34.766670","14.851800","19.914869","19.637091","12","0.277780","1","0","2"
"ID67","5","30.511110","11.907170","18.603939","18.603939","11","0.000000","0","0","2"
"ID67","6","41.099998","18.253290","22.846710","22.846710","16","0.000000","0","0","3"
"ID67","7","34.755562","14.165030","20.590530","20.590530","15","0.000000","0","0","3"
"ID68","1","527.500000","190.677200","336.822784","54.633900","19","282.188904","116","4","1"
"ID68","2","162.888901","49.534401","113.354492","53.888000","17","59.466499","35","0","1"
"ID68","3","103.533295","39.581799","63.951500","35.729198","17","28.222300","16","0","1"
"ID68","4","89.866714","51.859730","38.006981","38.006981","17","0.000000","0","0","2"
"ID68","5","54.422272","25.291420","29.130850","29.130850","16","0.000000","0","0","3"
"ID68","6","53.466713","22.624111","30.842600","30.842600","14","0.000000","0","0","3"
"ID69","1","125.211105","45.931599","79.279503","26.901400","15","52.378101","22","0","1"
"ID69","2","76.255501","45.866402","30.389099","25.700199","16","4.688900","5","4","2"
"ID69","3","52.599998","25.155199","27.444799","27.444799","16","0.000000","0","3","2"
"ID69","4","45.866619","21.842211","24.024410","24.024410","12","0.000000","0","0","2"
"ID69","5","37.200001","19.048872","18.151129","18.151129","15","0.000000","0","0","3"
"ID69","6","38.022221","17.108480","20.913740","20.913740","15","0.000000","0","0","3"
"ID70","1","270.555481","129.369904","141.185593","63.573502","31","77.612099","40","13","1"
"ID70","2","92.411133","47.733768","44.677372","30.988600","13","13.688770","12","0","1"
"ID70","3","67.088882","36.647282","30.441601","29.541611","15","0.899990","1","0","2"
"ID70","4","54.266670","31.931740","22.334930","22.334930","14","0.000000","0","0","2"
"ID70","5","47.833328","23.300421","24.532909","24.532909","15","0.000000","0","0","3"
"ID70","6","51.500000","22.733091","28.766909","28.766909","15","0.000000","0","0","3"
"ID71","1","267.088898","120.311897","146.777008","57.699200","33","89.077797","59","14","1"
"ID71","2","79.511108","42.878719","36.632389","31.865728","19","4.766660","3","1","2"
"ID71","3","54.200001","25.654869","28.545130","28.545130","18","0.000000","0","0","2"
"ID71","4","42.444439","15.067590","27.376850","27.376850","15","0.000000","0","0","3"
"ID71","5","36.133327","13.242330","22.891001","22.891001","14","0.000000","0","0","3"
"ID9","1","247.922211","85.813202","162.108994","37.153599","20","124.955399","36","7","1"
"ID9","2","59.055538","30.508669","28.546871","22.235752","14","6.311120","7","0","1"
"ID9","3","53.544449","25.779648","27.764799","25.764799","14","2.000000","3","0","2"
"ID9","4","48.744450","23.301680","25.442772","24.987211","15","0.455560","1","0","2"
"ID9","5","43.344448","20.241940","23.102510","23.102510","14","0.000000","0","0","2"
"ID9","6","40.733341","21.255289","19.478050","19.478050","14","0.000000","0","0","3"
"ID9","7","35.577778","18.372696","17.205080","17.205080","12","0.000000","0","0","3"
